Tanggal,Ticker,Teks_Berita,Nilai_Sentimen,Harga_Penutupan_Saham,Volume,Target_Label
2026-04-30,BBCA.JK,"Saham BBCA Makin Anjlok, Ini Gara-garanya - investor.id",-0.6,5850.0,303405400,0
2026-04-30,BBCA.JK,"BBCA Mulai Aksi Buyback Rp5 Triliun, Begini Strategi BBCA Jaga Stabilitas Saham - Ajaib",0.6,5850.0,303405400,0
2026-04-30,BBCA.JK,BCA Mulai Lakukan Pembelian Kembali Saham Sejak 28 April - Babel Insight,0.0,5850.0,303405400,0
2026-04-30,BBCA.JK,"Mulai Lakukan Buyback, BCA: Ini Sinyal Optimisme di Pasar Modal - TopBusiness.id",0.6,5850.0,303405400,0
2026-04-30,BBCA.JK,"BCA Mulai Buyback Rp 5 Triliun, Intip Gerak Saham BBCA - Liputan6.com",0.6,5850.0,303405400,0
2026-04-30,BBCA.JK,"Buyback Saham BCA, Langkah Strategis Untuk Meningkatkan Nilai Pemegang Saham - RRI.co.id",0.6,5850.0,303405400,0
2026-04-30,BBCA.JK,Transaksi Saham BBCA Tembus Rp 2 Triliun di Pasar Negosiasi - Liputan6.com,0.0,5850.0,303405400,0
2026-04-30,BBCA.JK,BCA (BBCA) Realisasikan Buyback Saham Mulai 28 April 2026 - Bisnis.com,0.6,5850.0,303405400,0
2026-04-30,BBCA.JK,Bos BCA Agak Khawatir dengan AI - investor.id,0.0,5850.0,303405400,0
2026-04-30,BBCA.JK,Perbanas Institute Gandeng BCA Bedah Strategi Transformasi Digital di Perbankan - investor.id,0.0,5850.0,303405400,0
2026-04-29,BBCA.JK,"BCA (BBCA) Buyback Saham Rp 5 Triliun, Apa Dampaknya untuk Investor? - Kompas.com",0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA mulai realisasikan aksi buyback saham - ANTARA News,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Mulai Realisasikan Pembelian Kembali (Buyback) Saham - BCA.co.id,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Mulai Realisasikan Buyback Saham Rp5 Triliun - Infobanknews,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Mulai Lakukan Buyback Saham hingga Maret 2027 - kumparan.com - Kumparan.com,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA (BBCA) Mulai Realisasikan Buyback Saham - Validnews,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,"Mulai Buyback Saham, BCA: Sinyal Optimisme Pasar - kontan.co.id",0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Mulai Buyback Saham - detikFinance,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Mulai Buyback Saham - republika.co.id,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA mulai buyback saham - MSN,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BBCA Mulai Realisasikan Buyback Saham - investor.id,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Mulai Buyback Saham Maksimal Rp 5 Triliun Selama Setahun - Babel Insight,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Gelar Buyback Saham untuk Jaga Optimisme Pasar Modal - Babel Insight,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,"BCA Resmi Mulai Buyback Saham, Sinyal Optimisme di Pasar Modal - indoposco.id",0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA (BBCA) Mulai Realisasikan Pembelian Kembali (Buyback) Saham - Media Asuransi News,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,"Jaga Fundamental Bisnis, BCA Mulai Buyback Saham - RM.ID",0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,Aksi Jual Bayangi Gerak Saham BBCA - investor.id,-0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Mulai Buyback Saham Maksimal Rp 5 Triliun - AsatuNews.co.id,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,"BBCA Mulai Eksekusi Buyback Saham, Segini Nilai Maksimumnya - Emitennews.com",0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Begins Implementing Stock Buybacks - BCA.co.id,0.6,5975.0,176050900,0
2026-04-29,BBCA.JK,BCA Realisasikan Buyback Saham - SWA.co.id,0.6,5975.0,176050900,0
2026-04-28,BBCA.JK,"Saham BBCA Ditekan Asing, Analis Kompak Pertahankan Buy dengan Potensi Cuan hingga 82% - InvestorTrust",0.0,6000.0,174091200,0
2026-04-28,BBCA.JK,"Siapkan Rp5 Triliun, BBCA Mulai Aksi Buyback Saham - Market - Bloomberg Technoz",0.6,6000.0,174091200,0
2026-04-28,BBCA.JK,"Saham Sentuh 5.900-an, Bos BBCA Buka Suara - investor.id",0.0,6000.0,174091200,0
2026-04-28,BBCA.JK,"Net Sell Hari Ini Rp 2,34 Triliun, Investor Asing Lanjut Lepas Saham BBCA, BBRI, dan BMRI - InvestorTrust",-0.6,6000.0,174091200,0
2026-04-28,BBCA.JK,Mencari Tanda-tanda Bottom Saham BBCA yang Terus Turun Perlahan - Mikir Duit,-0.6,6000.0,174091200,0
2026-04-28,BBCA.JK,"Perubahan Berarti di Saham BBCA, Mau ke Atas? - investor.id",0.0,6000.0,174091200,0
2026-04-28,BBCA.JK,BCA (BBCA) realisasikan buyback saham mulai 28 April 2026 - MSN,0.6,6000.0,174091200,0
2026-04-28,BBCA.JK,BCA mulai lakukan buyback saham hingga Maret 2027 - Shoesmart.co.id,0.6,6000.0,174091200,0
2026-04-28,BBCA.JK,Tekanan Jual di Saham BBCA - investor.id,-0.6,6000.0,174091200,0
2026-04-27,BBCA.JK,"Saham BBCA Sentuh Level Terendah, Saatnya Beli atau Wait and See? - Ajaib",0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,"Saham BBCA Turun Tajam, Saatnya Beli? - detikFinance",-0.6,5975.0,273263100,1
2026-04-27,BBCA.JK,"IHSG gagal rebound, saham BBCA dan BBRI di level terendah - IDNFinancials",0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,"Net Sell Capai Rp 2,03 Triliun, Investor Asing Lanjut Buang Saham BBCA, BMRI, dan BBRI - InvestorTrust",-0.6,5975.0,273263100,1
2026-04-27,BBCA.JK,"Fundamental Solid, Sentimen Makro Bikin Valuasi BBCA Makin Murah - InvestorTrust",0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,Pemicu Jatuhnya Saham BBCA - investor.id,0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,Fase Penting Saham BBCA - investor.id,0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,"Investor Asing Buang Saham BBRI, BBCA, dan BMRI hingga Rp 16,1 Triliun per April, Bakal Berlanjut di Mei? - InvestorTrust",0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,"Koreksi BBCA Diproyeksikan Makin Mereda, ini Analisisnya! - KabarBursa.com",0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,Harga Wajar BBCA setelah Menyentuh Titik Nadir - investor.id,0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,Prospek dan Fundamental Bank BCA Serta Ramalan Nasib Saham BBCA - Bisnis Indonesia Premium,0.6,5975.0,273263100,1
2026-04-27,BBCA.JK,Penerawangan Nasib Saham BBCA - investor.id,0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,"Saham BBCA Diskon Gede, Bisa Raup Cuan 56% - investor.id",0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,Target Harga Saham BCA Berubah Jadi Segini - Suara.com,0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,"Saham BBCA Dihitung Ulang, Target Harga Berubah Drastis - investor.id",0.0,5975.0,273263100,1
2026-04-27,BBCA.JK,"Asing Banyak Lego, Saham BBCA Kena Pukulan Keras - investor.id",0.0,5975.0,273263100,1
2026-04-24,BBCA.JK,Kejadian Langka Saham BBCA dalam 10 Tahun - investor.id,0.0,6050.0,435004800,0
2026-04-24,BBCA.JK,Biang Kerok Saham BBCA Anjlok - investor.id,-0.6,6050.0,435004800,0
2026-04-24,BBCA.JK,"Net Sell Memuncak Rp 2 Triliun, Investor Asing Lego Jumbo Saham BBCA - InvestorTrust",-0.6,6050.0,435004800,0
2026-04-24,BBCA.JK,"Rekomendasi Saham Hari Ini: BBCA, ICBP, MIKA & PTRO, IHSG Berpotensi Melemah Lagi - Bareksa.com",-0.6,6050.0,435004800,0
2026-04-24,BBCA.JK,Saham BBCA Babak Belur Dihajar Asing - investor.id,0.0,6050.0,435004800,0
2026-04-24,BBCA.JK,"Laba Q1 2026 Sesuai Ekspektasi, Rekomendasi BBCA Buy Target Harga Rp9.200 - Bareksa.com",0.6,6050.0,435004800,0
2026-04-24,BBCA.JK,Potensi Saham BBCA ke Batas Atas - investor.id,0.0,6050.0,435004800,0
2026-04-24,BBCA.JK,Saham BCA Merosot ke Level Terendah dalam Tiga Tahun Terakhir - AsatuNews.co.id,-0.6,6050.0,435004800,0
2026-04-24,BBCA.JK,BCA Ubah Kebijakan Pembagian Dividen Jadi Tiga Kali Setahun - Babel Insight,0.6,6050.0,435004800,0
2026-04-24,BBCA.JK,Saham BCA Anjlok ke Level Terendah Akibat Pelemahan Rupiah - AsatuNews.co.id,-0.6,6050.0,435004800,0
2026-04-24,BBCA.JK,BCA Hadirkan Australia Travel Fair - investor.id,0.0,6050.0,435004800,0
